quote_id,quote_text
Quote 01,"As an Agile Coach, how do I deal with argumentative and uncooperative team members? [...] Team member is not a team player and is unwilling to work as a team, very arrogant and always tells the team that she is always right."
Quote 02,"How do I get my team to work in agile way and slice things vertically?"
Quote 03,"Do you think it is the team members responsibility to continuously silently correct PMs weaknesses? [...] Bring it to his attention (risking that he may be either insulted or just give it a shrug)? [...] Or just give it a shrug as well, similar to what the PM himself is doing?"
Quote 04,"I have made numerous suggestions (as the Scrum Master), I think four times, in the past year but it fell on deaf ears."
Quote 05,"How can I deal with a developer who isn't on board with a new PM and programming framework? [...] but I just can't seem to get this person on board by committing to our Sprint goals and work tools (i.e. Rails)."
Quote 06,"Organization fails to deliver a Product Owner [...] However, not having a product owner does slow us down and demoralizes the team in my opinion, because nobody seems to want to take responsibility for the final product except"
Quote 07,"The Scrum Master has tried mentioning that this is not a technical meeting, but the manager replies that he wants to know what's going on ""with this specific thing"" or ""we need to understand this better"".  [...] Sometimes he replies to the SM ""hold on, we need to discuss this"", therefore the SM has given up trying to refocus the discussion. [...] Other times, the SM will try to coordinate the discussion on a topic, and the manager will say ""let's move on, this can wait"". [...] Sometimes he will even get annoyed if the SM says ""let's take this offline""."
Quote 08,"Balance between sharing creative control and leading the project. [...] I don't want to be a project dictator but when we are in ""crunch time"" and somebody goes off on a tangent with an idea and reports back that he doesn't think my solution is ideal, I find myself becoming aggravated."
Quote 09,"How to encourage more participation in web scrum meetings? [...] I often times have very long periods of silence after I ask a question. [...] While I don't worry too much about silence, from individual discussions I know there are things that are not being brought up, and I also feel we are not being very efficient where the meeting is longer than it should be due to the silence."
Quote 10,"A development workflow for a team of 3 developers that minimizes outside interruptions? [...] but where my team fails is when we are all working on separate projects and we get bombarded with input from many other departments."
Quote 11,"Incorrect pronunciation leads to miscommunication which impacts customer confidence [...] problems for the team in understanding customer requirements [...] Team not successful in convincing clients when requirement creeps [...] Soft skills trainings are not usually conducted in small companies [...] Team do not give importance to communication skills and they believe it is not a part of their job"
Quote 12,"How should a Scrum master handle disagreement about story-point estimates in Scrum? [...] ""I understand your opinion, but don't think those complications are valid."" [...] The 20-point voters say, ""The past tells us that these things are always a lot more complicated than they seem."""
Quote 13,"For some reason (possibly culturally as she's from another country) she takes any decisions made by the PM's personally though will back down when her manager asks her to do something [...] If I ask her to refactor some code to make it easier to manage, she will start into a tirade with any number of excuses as to why it needs to stay the way she wrote it. [...] If her manager asks her to make a similar change she does so without question. [...] This is why I wondered if it were a cultural issue because clearly, she respects only the authority which can fire her"
